Autor,Gênero,Grau (Centralidade),Grau Ponderado (Força)
Andrea Charão,Mulher,0.0022,5
Cassiano Schneider,Homem,0.0022,5
Anderson Afonso,Homem,0.0022,4
Luciana Chueri,Mulher,0.0022,6
Mariana Pinheiro,Mulher,0.0022,6
Mateus Lambranho Ramos,Homem,0.0022,4
Rodrigo Pereira dos Santos,Homem,0.0044,10
Anderson J. C. Sena,Homem,0.0022,4
Fabricio J. B. Brito,Homem,0.0022,4
Filipe C. Fernandes,Homem,0.0033,6
Ramon C. F. Araújo,Homem,0.0022,4
Rodrigo M. S. Oliveira,Homem,0.0022,4
Anderson Lemos,Homem,0.0011,2
Olga Goussevskaia,Mulher,0.0011,2
Anderson Passos de Aragão,Homem,0.0005,1
João Victor da Costa,Homem,0.0005,1
Anderson Rocha,Homem,0.0011,2
Jacques Wainer,Homem,0.0011,2
Ramon Pires,Homem,0.0011,2
Anderson Viçoso de Araújo,Homem,0.0022,4
Felício Gobbi Hoffmann Santos Pereira,Homem,0.0022,4
Graziela Santos de Araújo,Mulher,0.0022,4
Heitor Batistela Zunta,Homem,0.0022,4
Anderson Y. Iwasaki,Homem,0.0016,3
Elisa Yumi Nakagawa,Mulher,0.0027,5
João Paulo K. S. Nunes,Homem,0.0016,3
Thiago Bianchi,Homem,0.0016,3
Andre Aquino,Homem,0.0049,9
Arthur Melo,Homem,0.0011,2
Cristopher Freitas,Homem,0.0016,3
Givanildo Júnior,Homem,0.0016,3
Hugo Souza,Homem,0.0011,2
Hyuri Maciel,Homem,0.0005,1
Israel Vasconcelos,Homem,0.0005,1
Maurício Silva,Homem,0.0011,2
Osvaldo Rosso,Homem,0.0016,3
Ricardo Oliveira,Homem,0.0011,2
Leandro Schneider,Homem,0.0016,3
Lucas Silva,Homem,0.0044,8
Andrea S. Charão,Mulher,0.0016,3
Fernando P. Barbosa,Homem,0.0016,3
Karina Wiechork,Mulher,0.0027,5
Marlon L. S. Rodrigues,Homem,0.0016,3
Andreia Gentil Bonfante,Mulher,0.0011,2
Claudia Aparecida Martins,Mulher,0.0011,2
Henrique Camacho Farias,Homem,0.0011,2
Andressa da Silva Siqueira,Mulher,0.0016,3
Beatriz Pereira,Mulher,0.0016,3
Laura Damaceno de Almeida,Mulher,0.0016,3
Poliana Nascimento Ferreira,Mulher,0.0016,3
Andreu Carminati,Homem,0.0011,2
Bruno Dourado Miranda,Homem,0.0011,2
Romulo Silva de Oliveira,Homem,0.0022,4
Andreza Sartori,Mulher,0.0016,3
Jennyfer Araújo,Mulher,0.0016,3
Leonardo Fronza,Homem,0.0016,3
Luciana P. de Araújo Kohler,Mulher,0.0016,3
André Barreto,Homem,0.0049,9
Arthur Passos,Homem,0.0033,6
Brenno Nascimento,Homem,0.0033,6
Felipe Oliveira,Homem,0.0016,3
Felipe Silva,Homem,0.0033,6
Gabriel Costa,Homem,0.0066,13
Jean Araújo,Homem,0.0016,3
Luan Lins,Homem,0.0016,3
André Constantino da Silva,Homem,0.0016,3
Carlos Roberto dos Santos Junior,Homem,0.0016,3
Daniela Marques,Mulher,0.0016,3
Gustavo Bartz Guedes,Homem,0.0016,3
André Ferraz,Homem,0.0005,1
Carlos Ferraz,Homem,0.0005,1
